time,situation,spreading_prob,time_out,decay,connect_prob_city,connect_prob_vil,num_start_points,only_cities,only_villages,spreading_time
1,Village,0.8,False,True,0.5,0.1,1,False,True,2
4,Village,0.8,False,True,0.5,0.25,1,False,True,2
4,Village,0.8,False,True,0.5,0.5,1,False,True,2
4,Village,0.8,False,True,0.5,0.75,1,False,True,2
4,Village,0.8,False,True,0.5,1.0,1,False,True,2
4,City,0.8,False,True,0.5,0.1,1,True,False,2
3,City,0.8,False,True,0.5,0.25,1,True,False,2
3,City,0.8,False,True,0.5,0.5,1,True,False,2
3,City,0.8,False,True,0.5,0.75,1,True,False,2
4,City,0.8,False,True,0.5,1.0,1,True,False,2
4,MultVillage,0.8,False,True,0.5,0.1,5,False,True,2
7,MultVillage,0.8,False,True,0.5,0.25,5,False,True,2
4,MultVillage,0.8,False,True,0.5,0.5,5,False,True,2
3,MultVillage,0.8,False,True,0.5,0.75,5,False,True,2
3,MultVillage,0.8,False,True,0.5,1.0,5,False,True,2
7,MultCity,0.8,False,True,0.5,0.1,5,True,False,2
5,MultCity,0.8,False,True,0.5,0.25,5,True,False,2
3,MultCity,0.8,False,True,0.5,0.5,5,True,False,2
3,MultCity,0.8,False,True,0.5,0.75,5,True,False,2
3,MultCity,0.8,False,True,0.5,1.0,5,True,False,2
6,MultVillage&City,0.8,False,True,0.5,0.1,5,False,False,2
4,MultVillage&City,0.8,False,True,0.5,0.25,5,False,False,2
3,MultVillage&City,0.8,False,True,0.5,0.5,5,False,False,2
3,MultVillage&City,0.8,False,True,0.5,0.75,5,False,False,2
2,MultVillage&City,0.8,False,True,0.5,1.0,5,False,False,2
