time,situation,spreading_prob,time_out,decay,connect_prob_city,connect_prob_vil,num_start_points,only_cities,only_villages,spreading_time
11,Village,0.15,True,False,0.5,0.5,1,False,True,2
4,Village,0.3,True,False,0.5,0.5,1,False,True,2
4,Village,0.6,True,False,0.5,0.5,1,False,True,2
4,Village,0.8,True,False,0.5,0.5,1,False,True,2
4,Village,0.9,True,False,0.5,0.5,1,False,True,2
7,City,0.15,True,False,0.5,0.5,1,True,False,2
5,City,0.3,True,False,0.5,0.5,1,True,False,2
4,City,0.6,True,False,0.5,0.5,1,True,False,2
4,City,0.8,True,False,0.5,0.5,1,True,False,2
3,City,0.9,True,False,0.5,0.5,1,True,False,2
8,MultVillage,0.15,True,False,0.5,0.5,5,False,True,2
8,MultVillage,0.3,True,False,0.5,0.5,5,False,True,2
5,MultVillage,0.6,True,False,0.5,0.5,5,False,True,2
4,MultVillage,0.8,True,False,0.5,0.5,5,False,True,2
4,MultVillage,0.9,True,False,0.5,0.5,5,False,True,2
4,MultCity,0.15,True,False,0.5,0.5,5,True,False,2
6,MultCity,0.3,True,False,0.5,0.5,5,True,False,2
4,MultCity,0.6,True,False,0.5,0.5,5,True,False,2
3,MultCity,0.8,True,False,0.5,0.5,5,True,False,2
3,MultCity,0.9,True,False,0.5,0.5,5,True,False,2
8,MultVillage&City,0.15,True,False,0.5,0.5,5,False,False,2
6,MultVillage&City,0.3,True,False,0.5,0.5,5,False,False,2
3,MultVillage&City,0.6,True,False,0.5,0.5,5,False,False,2
2,MultVillage&City,0.8,True,False,0.5,0.5,5,False,False,2
3,MultVillage&City,0.9,True,False,0.5,0.5,5,False,False,2
