time,situation,spreading_prob,time_out,decay,connect_prob_city,connect_prob_vil,num_start_points,only_cities,only_villages,spreading_time
5,Village,0.8,False,True,0.5,0.5,1,False,True,0
5,Village,0.8,False,True,0.5,0.5,1,False,True,1
5,Village,0.8,False,True,0.5,0.5,1,False,True,2
5,Village,0.8,False,True,0.5,0.5,1,False,True,5
5,Village,0.8,False,True,0.5,0.5,1,False,True,10
2,City,0.8,False,True,0.5,0.5,1,True,False,0
3,City,0.8,False,True,0.5,0.5,1,True,False,1
3,City,0.8,False,True,0.5,0.5,1,True,False,2
3,City,0.8,False,True,0.5,0.5,1,True,False,5
3,City,0.8,False,True,0.5,0.5,1,True,False,10
4,MultVillage,0.8,False,True,0.5,0.5,5,False,True,0
4,MultVillage,0.8,False,True,0.5,0.5,5,False,True,1
4,MultVillage,0.8,False,True,0.5,0.5,5,False,True,2
4,MultVillage,0.8,False,True,0.5,0.5,5,False,True,5
4,MultVillage,0.8,False,True,0.5,0.5,5,False,True,10
3,MultCity,0.8,False,True,0.5,0.5,5,True,False,0
3,MultCity,0.8,False,True,0.5,0.5,5,True,False,1
4,MultCity,0.8,False,True,0.5,0.5,5,True,False,2
3,MultCity,0.8,False,True,0.5,0.5,5,True,False,5
4,MultCity,0.8,False,True,0.5,0.5,5,True,False,10
3,MultVillage&City,0.8,False,True,0.5,0.5,5,False,False,0
4,MultVillage&City,0.8,False,True,0.5,0.5,5,False,False,1
3,MultVillage&City,0.8,False,True,0.5,0.5,5,False,False,2
3,MultVillage&City,0.8,False,True,0.5,0.5,5,False,False,5
3,MultVillage&City,0.8,False,True,0.5,0.5,5,False,False,10
